@RELATION credit

@ATTRIBUTE checking_status {<0, 0<=X<200, >=200, "no checking"}
@ATTRIBUTE duration NUMERIC
@ATTRIBUTE credit_history {"no credits/all paid", "all paid", "existing paid", "delayed previously", "critical/other existing credit"}
@ATTRIBUTE purpose {"new car", "used car", furniture/equipment, radio/tv, "domestic appliance", repairs, education, vacation, retraining, business, other}
@ATTRIBUTE credit_amount NUMERIC
@ATTRIBUTE savings_status NUMERIC
@ATTRIBUTE employment {unemployed, <1, 1<=X<4, 4<=X<7, >=7}
@ATTRIBUTE installment_commitment NUMERIC
@ATTRIBUTE personal_status {"male div/sep", "female div/dep/mar", "male single", "male mar/wid", "female single"}
@ATTRIBUTE other_parties {none, "co applicant", guarantor}
@ATTRIBUTE residence_since NUMERIC
@ATTRIBUTE property_magnitude {"real estate", "life insurance", car, "no known property"}
@ATTRIBUTE age NUMERIC
@ATTRIBUTE other_payment_plans {bank, stores, none}
@ATTRIBUTE housing {rent, own, "for free"}
@ATTRIBUTE existing_credits NUMERIC
@ATTRIBUTE job {"unemp/unskilled non res", "unskilled resident", skilled, "high qualif/self emp/mgmt"}
@ATTRIBUTE num_dependents NUMERIC
@ATTRIBUTE own_telephone {none, yes}
@ATTRIBUTE foreign_worker {yes, no}
@ATTRIBUTE class {good, bad}

@DATA
0<=X<200,12.0,'existing paid','new car',888.0,89,>=7,4.0,'male single',none,4.0,car,41.0,bank,own,1.0,'unskilled resident',2.0,none,yes,bad
'no checking',48.0,'existing paid',radio/tv,10222.0,?,4<=X<7,4.0,'male single',none,3.0,car,37.0,stores,own,1.0,skilled,1.0,yes,yes,good
0<=X<200,30.0,'no credits/all paid',business,4221.0,32,1<=X<4,2.0,'female div/dep/mar',none,1.0,car,28.0,none,own,2.0,skilled,1.0,none,yes,good
0<=X<200,18.0,'critical/other existing credit',furniture/equipment,6361.0,50,>=7,2.0,'male single',none,1.0,'no known property',41.0,none,own,1.0,skilled,1.0,yes,yes,good
>=200,12.0,'existing paid',radio/tv,1297.0,58,1<=X<4,3.0,'male mar/wid',none,4.0,'real estate',23.0,none,rent,1.0,skilled,1.0,none,yes,good
<0,12.0,'existing paid','new car',900.0,?,1<=X<4,4.0,'male mar/wid',none,2.0,car,23.0,none,own,1.0,skilled,1.0,none,yes,bad
'no checking',21.0,'existing paid',furniture/equipment,2241.0,80,>=7,4.0,'male single',none,2.0,'real estate',50.0,none,own,2.0,skilled,1.0,none,yes,good
0<=X<200,6.0,'delayed previously',furniture/equipment,1050.0,72,unemployed,4.0,'male single',none,1.0,'life insurance',35.0,stores,own,2.0,'high qualif/self emp/mgmt',1.0,yes,yes,good
>=200,6.0,'critical/other existing credit',education,1047.0,36,1<=X<4,2.0,'female div/dep/mar',none,4.0,'life insurance',50.0,none,own,1.0,'unskilled resident',1.0,none,yes,good
'no checking',24.0,'critical/other existing credit',other,6314.0,80,unemployed,4.0,'male single','co applicant',2.0,'no known property',27.0,bank,own,2.0,'high qualif/self emp/mgmt',1.0,yes,yes,good
0<=X<200,30.0,'all paid',furniture/equipment,3496.0,1110.29425217,1<=X<4,4.0,'male single',none,2.0,car,34.0,stores,own,1.0,skilled,2.0,yes,yes,good
'no checking',48.0,'all paid',business,3609.0,87,1<=X<4,1.0,'female div/dep/mar',none,1.0,'real estate',27.0,stores,own,1.0,skilled,1.0,none,yes,good
<0,12.0,'critical/other existing credit','new car',4843.0,27,>=7,3.0,'male single','co applicant',4.0,'life insurance',43.0,none,rent,2.0,skilled,1.0,yes,yes,bad
>=200,30.0,'critical/other existing credit',radio/tv,3017.0,64,>=7,4.0,'male single',none,4.0,'life insurance',47.0,none,own,1.0,skilled,1.0,none,yes,good
'no checking',60.0,'existing paid','new car',10366.0,70,>=7,2.0,'male single',none,4.0,'life insurance',42.0,none,own,1.0,'high qualif/self emp/mgmt',1.0,yes,yes,good
'no checking',21.0,'delayed previously',business,2580.0,573,<1,4.0,'male single',none,2.0,'real estate',41.0,bank,own,1.0,'unskilled resident',2.0,none,yes,bad
'no checking',30.0,'critical/other existing credit',radio/tv,4530.0,93,4<=X<7,4.0,'female div/dep/mar',none,4.0,car,26.0,none,rent,1.0,'high qualif/self emp/mgmt',1.0,yes,yes,good
'no checking',24.0,'critical/other existing credit',furniture/equipment,5150.0,55,>=7,4.0,'male single',none,4.0,car,33.0,none,own,1.0,skilled,1.0,yes,yes,good
<0,24.0,'existing paid',radio/tv,2384.0,17,>=7,4.0,'male single',none,4.0,'real estate',64.0,bank,rent,1.0,'unskilled resident',1.0,none,yes,good
'no checking',18.0,'existing paid',radio/tv,1453.0,55,<1,3.0,'female div/dep/mar',none,1.0,'real estate',26.0,none,own,1.0,skilled,1.0,none,yes,good
'no checking',6.0,'existing paid',education,1538.0,18,<1,1.0,'female div/dep/mar',none,2.0,'no known property',56.0,none,own,1.0,skilled,1.0,none,yes,good
'no checking',12.0,'existing paid',radio/tv,2279.0,?,1<=X<4,4.0,'male single',none,4.0,'no known property',37.0,none,'for free',1.0,skilled,1.0,yes,yes,good
'no checking',15.0,'delayed previously',radio/tv,1478.0,13,1<=X<4,4.0,'male mar/wid',none,3.0,'real estate',33.0,bank,own,2.0,skilled,1.0,none,yes,good
'no checking',24.0,'critical/other existing credit',radio/tv,5103.0,75,<1,3.0,'male mar/wid',none,3.0,'no known property',47.0,none,'for free',3.0,skilled,1.0,yes,yes,good
0<=X<200,36.0,'delayed previously',business,9857.0,194,4<=X<7,1.0,'male single',none,3.0,'life insurance',31.0,none,own,2.0,'unskilled resident',2.0,yes,yes,good
'no checking',60.0,'existing paid','new car',6527.0,?,1<=X<4,4.0,'male single',none,4.0,'no known property',34.0,none,'for free',1.0,skilled,2.0,yes,yes,good
'no checking',9.0,'existing paid',radio/tv,2753.0,388,>=7,3.0,'male single','co applicant',4.0,car,35.0,none,own,1.0,skilled,1.0,yes,yes,good
<0,12.0,'existing paid','new car',3651.0,1052.08875809,1<=X<4,1.0,'male single',none,3.0,'life insurance',31.0,none,own,1.0,skilled,2.0,none,yes,good
0<=X<200,15.0,'existing paid',repairs,2631.0,119,1<=X<4,3.0,'female div/dep/mar',none,2.0,'real estate',25.0,none,own,1.0,'unskilled resident',1.0,none,yes,good
0<=X<200,24.0,'existing paid',radio/tv,2896.0,223,<1,2.0,'male single',none,1.0,car,29.0,none,own,1.0,skilled,1.0,none,yes,good
'no checking',24.0,'existing paid',radio/tv,2284.0,2,4<=X<7,4.0,'male single',none,2.0,car,28.0,none,own,1.0,skilled,1.0,yes,yes,good
'no checking',6.0,'existing paid','used car',1236.0,861,1<=X<4,2.0,'male single',none,4.0,'life insurance',50.0,none,rent,1.0,skilled,1.0,none,yes,good
0<=X<200,12.0,'existing paid',radio/tv,1103.0,1,4<=X<7,4.0,'male single',guarantor,3.0,'real estate',29.0,none,own,2.0,skilled,1.0,none,no,good
'no checking',12.0,'critical/other existing credit','new car',926.0,20,unemployed,1.0,'female div/dep/mar',none,2.0,'life insurance',38.0,none,own,1.0,'unemp/unskilled non res',1.0,none,yes,good
'no checking',18.0,'critical/other existing credit',radio/tv,1800.0,62,1<=X<4,4.0,'male single',none,2.0,car,24.0,none,own,2.0,skilled,1.0,none,yes,good
>=200,15.0,'existing paid',education,1905.0,38,>=7,4.0,'male single',none,4.0,car,40.0,none,rent,1.0,'high qualif/self emp/mgmt',1.0,yes,yes,good
'no checking',12.0,'existing paid',furniture/equipment,1123.0,718,1<=X<4,4.0,'female div/dep/mar',none,4.0,car,29.0,none,rent,1.0,'unskilled resident',1.0,none,yes,bad
<0,48.0,'critical/other existing credit','used car',6331.0,36,>=7,4.0,'male single',none,4.0,'no known property',46.0,none,'for free',2.0,skilled,1.0,yes,yes,bad
>=200,24.0,'existing paid',radio/tv,1377.0,406,>=7,4.0,'female div/dep/mar',none,2.0,'no known property',47.0,none,'for free',1.0,skilled,1.0,yes,yes,good
0<=X<200,30.0,'delayed previously',business,2503.0,360,>=7,4.0,'male single',none,2.0,'life insurance',41.0,stores,own,2.0,skilled,1.0,none,yes,good
0<=X<200,27.0,'existing paid',business,2528.0,10,<1,4.0,'female div/dep/mar',none,1.0,'life insurance',32.0,none,own,1.0,skilled,2.0,yes,yes,good
'no checking',15.0,'existing paid','new car',5324.0,588,>=7,1.0,'female div/dep/mar',none,4.0,'no known property',35.0,none,'for free',1.0,skilled,1.0,none,yes,good
0<=X<200,48.0,'existing paid','new car',6560.0,329,4<=X<7,3.0,'male single',none,2.0,'life insurance',24.0,none,own,1.0,skilled,1.0,none,yes,bad
0<=X<200,12.0,'no credits/all paid',furniture/equipment,2969.0,79,<1,4.0,'female div/dep/mar',none,3.0,'life insurance',25.0,none,rent,2.0,skilled,1.0,none,yes,bad
0<=X<200,9.0,'existing paid',radio/tv,1206.0,87,>=7,4.0,'female div/dep/mar',none,4.0,'real estate',25.0,none,own,1.0,skilled,1.0,none,yes,good
<0,6.0,'all paid',education,1198.0,5,>=7,4.0,'female div/dep/mar',none,4.0,'no known property',35.0,none,'for free',1.0,skilled,1.0,none,yes,bad
'no checking',21.0,'existing paid','used car',2476.0,?,>=7,4.0,'male single',none,4.0,'real estate',46.0,none,own,1.0,'high qualif/self emp/mgmt',1.0,yes,yes,good
<0,9.0,'critical/other existing credit',radio/tv,1138.0,68,1<=X<4,4.0,'male single',none,4.0,'real estate',25.0,none,own,2.0,'unskilled resident',1.0,none,yes,good
0<=X<200,60.0,'existing paid','new car',14027.0,48,4<=X<7,4.0,'male single',none,2.0,'no known property',27.0,none,own,1.0,'high qualif/self emp/mgmt',1.0,yes,yes,bad
'no checking',30.0,'critical/other existing credit','used car',7596.0,?,>=7,1.0,'male single',none,4.0,car,63.0,none,own,2.0,skilled,1.0,none,yes,good
'no checking',30.0,'critical/other existing credit',radio/tv,3077.0,?,>=7,3.0,'male single',none,2.0,car,40.0,none,own,2.0,skilled,2.0,yes,yes,good
>=200,9.0,'no credits/all paid',radio/tv,1337.0,85,<1,4.0,'male single',none,2.0,car,34.0,none,own,2.0,'high qualif/self emp/mgmt',1.0,yes,yes,bad
0<=X<200,6.0,'all paid',education,433.0,1121.18797677,<1,4.0,'female div/dep/mar',none,2.0,'life insurance',24.0,bank,rent,1.0,skilled,2.0,none,yes,bad
<0,12.0,'existing paid','new car',1228.0,31,1<=X<4,4.0,'female div/dep/mar',none,2.0,'real estate',24.0,none,own,1.0,'unskilled resident',1.0,none,yes,bad
0<=X<200,9.0,'existing paid',radio/tv,790.0,998,1<=X<4,4.0,'female div/dep/mar',none,3.0,'real estate',66.0,none,own,1.0,'unskilled resident',1.0,none,yes,good
'no checking',27.0,'existing paid','new car',2570.0,88,1<=X<4,3.0,'female div/dep/mar',none,3.0,'real estate',21.0,none,rent,1.0,skilled,1.0,none,yes,bad
'no checking',6.0,'critical/other existing credit','new car',250.0,1066.85842801,1<=X<4,2.0,'female div/dep/mar',none,2.0,'real estate',41.0,bank,own,2.0,'unskilled resident',1.0,none,yes,good
<0,18.0,'existing paid',radio/tv,1882.0,40,1<=X<4,4.0,'female div/dep/mar',none,4.0,car,25.0,bank,rent,2.0,skilled,1.0,none,yes,bad
0<=X<200,48.0,'all paid',business,6416.0,6,>=7,4.0,'female div/dep/mar',none,3.0,'no known property',59.0,none,rent,1.0,skilled,1.0,none,yes,bad
>=200,24.0,'critical/other existing credit',business,1275.0,1053.6035843,1<=X<4,2.0,'male div/sep',none,4.0,'real estate',36.0,none,own,2.0,skilled,1.0,yes,yes,good
0<=X<200,24.0,'delayed previously',radio/tv,6403.0,28,<1,1.0,'male single',none,2.0,car,33.0,none,own,1.0,skilled,1.0,none,yes,good
<0,24.0,'existing paid',radio/tv,1987.0,80,1<=X<4,2.0,'male single',none,4.0,'real estate',21.0,none,rent,1.0,'unskilled resident',2.0,none,yes,bad
0<=X<200,8.0,'existing paid',radio/tv,760.0,39,4<=X<7,4.0,'female div/dep/mar',guarantor,2.0,'real estate',44.0,none,own,1.0,'unskilled resident',1.0,none,yes,good
'no checking',24.0,'existing paid','used car',2603.0,1014.80142215,1<=X<4,2.0,'female div/dep/mar',none,4.0,car,28.0,none,rent,1.0,skilled,1.0,yes,yes,good
'no checking',4.0,'critical/other existing credit','new car',3380.0,63,4<=X<7,1.0,'female div/dep/mar',none,1.0,'real estate',37.0,none,own,1.0,skilled,2.0,none,yes,good
0<=X<200,36.0,'all paid','domestic appliance',3990.0,?,<1,3.0,'female div/dep/mar',none,2.0,'no known property',29.0,bank,own,1.0,'unemp/unskilled non res',1.0,none,yes,good
0<=X<200,24.0,'existing paid','used car',11560.0,16,1<=X<4,1.0,'female div/dep/mar',none,4.0,car,23.0,none,rent,2.0,'high qualif/self emp/mgmt',1.0,none,yes,bad
<0,18.0,'existing paid','new car',4380.0,450,1<=X<4,3.0,'male single',none,4.0,car,35.0,none,own,1.0,'unskilled resident',2.0,yes,yes,good
0<=X<200,30.0,'no credits/all paid',business,4280.0,311,1<=X<4,4.0,'female div/dep/mar',none,4.0,car,26.0,none,rent,2.0,'unskilled resident',1.0,none,yes,bad
<0,24.0,'all paid','new car',2325.0,357,4<=X<7,2.0,'male single',none,3.0,car,32.0,bank,own,1.0,skilled,1.0,none,yes,good
0<=X<200,10.0,'all paid',radio/tv,1048.0,40,1<=X<4,4.0,'male single',none,4.0,'real estate',23.0,stores,own,1.0,'unskilled resident',1.0,none,yes,good
<0,24.0,'all paid',furniture/equipment,2483.0,759,1<=X<4,4.0,'male single',none,4.0,'real estate',22.0,stores,own,1.0,skilled,1.0,yes,yes,good
<0,13.0,'critical/other existing credit',business,1797.0,7,<1,3.0,'male single',none,1.0,'life insurance',28.0,bank,own,2.0,'unskilled resident',1.0,none,yes,good
<0,15.0,'existing paid','new car',2511.0,40,unemployed,1.0,'female div/dep/mar',none,4.0,car,23.0,none,rent,1.0,skilled,1.0,none,yes,good
<0,12.0,'existing paid','new car',1274.0,85,<1,3.0,'female div/dep/mar',none,1.0,'real estate',37.0,none,own,1.0,'unskilled resident',1.0,none,yes,bad
'no checking',21.0,'existing paid','used car',5248.0,?,1<=X<4,1.0,'male single',none,3.0,car,26.0,none,own,1.0,skilled,1.0,none,yes,good
'no checking',15.0,'existing paid','used car',3029.0,84,4<=X<7,2.0,'male single',none,2.0,car,33.0,none,own,1.0,skilled,1.0,none,yes,good
<0,6.0,'existing paid',furniture/equipment,428.0,54,>=7,2.0,'female div/dep/mar',none,1.0,'life insurance',49.0,bank,own,1.0,skilled,1.0,yes,yes,good
<0,18.0,'existing paid','new car',976.0,37,<1,1.0,'female div/dep/mar',none,2.0,car,23.0,none,own,1.0,'unskilled resident',1.0,none,yes,bad
0<=X<200,12.0,'existing paid',business,841.0,385,4<=X<7,2.0,'female div/dep/mar',none,4.0,'real estate',23.0,none,rent,1.0,'unskilled resident',1.0,none,yes,good
'no checking',12.0,'delayed previously',repairs,1555.0,1028.77282301,>=7,4.0,'male single',none,4.0,'no known property',55.0,none,'for free',2.0,skilled,2.0,none,yes,bad
>=200,6.0,'critical/other existing credit','new car',1299.0,12,1<=X<4,1.0,'male single',none,1.0,'real estate',74.0,none,own,3.0,'unemp/unskilled non res',2.0,none,no,good
>=200,15.0,'critical/other existing credit',radio/tv,1271.0,?,1<=X<4,3.0,'male single',none,4.0,'no known property',39.0,none,'for free',2.0,skilled,1.0,yes,yes,bad
'no checking',24.0,'existing paid','new car',1393.0,50,1<=X<4,2.0,'male single',guarantor,2.0,'real estate',31.0,none,own,1.0,skilled,1.0,yes,yes,good
<0,12.0,'existing paid',radio/tv,2214.0,30,1<=X<4,4.0,'male single',none,3.0,'life insurance',24.0,none,own,1.0,'unskilled resident',1.0,none,yes,good
'no checking',24.0,'critical/other existing credit','new car',2463.0,145,4<=X<7,4.0,'male mar/wid',none,3.0,'life insurance',27.0,none,own,2.0,skilled,1.0,yes,yes,good
0<=X<200,12.0,'existing paid',radio/tv,1155.0,47,>=7,3.0,'male mar/wid',guarantor,3.0,'real estate',40.0,bank,own,2.0,'unskilled resident',1.0,none,yes,good
'no checking',10.0,'existing paid','used car',2901.0,?,<1,1.0,'female div/dep/mar',none,4.0,'real estate',31.0,none,rent,1.0,skilled,1.0,none,yes,good
0<=X<200,12.0,'critical/other existing credit',furniture/equipment,3617.0,46,>=7,1.0,'male single',none,4.0,car,28.0,none,rent,3.0,skilled,1.0,yes,yes,good
'no checking',12.0,'critical/other existing credit',radio/tv,1655.0,46,>=7,2.0,'male single',none,4.0,'real estate',63.0,none,own,2.0,'unskilled resident',1.0,yes,yes,good
<0,24.0,'existing paid','used car',2812.0,?,>=7,2.0,'female div/dep/mar',none,4.0,'real estate',26.0,none,rent,1.0,skilled,1.0,none,yes,good
<0,36.0,'critical/other existing credit',education,8065.0,96,1<=X<4,3.0,'female div/dep/mar',none,2.0,'no known property',25.0,none,own,2.0,'high qualif/self emp/mgmt',1.0,yes,yes,bad
'no checking',24.0,'critical/other existing credit',radio/tv,2223.0,104,>=7,4.0,'male single',none,4.0,'life insurance',52.0,bank,own,2.0,skilled,1.0,none,yes,good
<0,24.0,'existing paid','new car',1371.0,?,1<=X<4,4.0,'female div/dep/mar',none,4.0,'real estate',25.0,none,rent,1.0,skilled,1.0,none,yes,bad
'no checking',36.0,'critical/other existing credit','new car',3535.0,87,4<=X<7,4.0,'male single',none,4.0,car,37.0,none,own,2.0,skilled,1.0,yes,yes,good
0<=X<200,18.0,'existing paid',repairs,3872.0,65,unemployed,2.0,'female div/dep/mar',none,4.0,car,67.0,none,own,1.0,skilled,1.0,yes,yes,good
0<=X<200,12.0,'no credits/all paid',retraining,1410.0,3,1<=X<4,2.0,'male single',none,2.0,'real estate',31.0,none,own,1.0,'unskilled resident',1.0,yes,yes,good
0<=X<200,18.0,'existing paid',business,1941.0,1094.60819504,1<=X<4,4.0,'male single',none,2.0,'life insurance',35.0,none,own,1.0,'unskilled resident',1.0,yes,yes,good
'no checking',22.0,'existing paid',radio/tv,2675.0,754,>=7,3.0,'male single',none,4.0,car,40.0,none,own,1.0,skilled,1.0,none,yes,good
'no checking',48.0,'critical/other existing credit','used car',2751.0,?,>=7,4.0,'male single',none,3.0,car,38.0,none,own,2.0,skilled,2.0,yes,yes,good
<0,40.0,'critical/other existing credit',education,5998.0,70,1<=X<4,4.0,'male single',none,3.0,'no known property',27.0,bank,own,1.0,skilled,1.0,yes,yes,bad
0<=X<200,21.0,'existing paid',business,1188.0,16,>=7,2.0,'female div/dep/mar',none,4.0,'life insurance',39.0,none,own,1.0,skilled,2.0,none,yes,bad
'no checking',24.0,'existing paid','used car',6313.0,?,>=7,3.0,'male single',none,4.0,car,41.0,none,own,1.0,'high qualif/self emp/mgmt',2.0,yes,yes,good
>=200,24.0,'existing paid',furniture/equipment,2892.0,26,>=7,3.0,'male div/sep',none,4.0,'no known property',51.0,none,'for free',1.0,skilled,1.0,none,yes,good
'no checking',24.0,'existing paid',furniture/equipment,3062.0,811,>=7,4.0,'male single',none,3.0,'no known property',32.0,none,rent,1.0,skilled,1.0,yes,yes,good
'no checking',9.0,'existing paid',furniture/equipment,2301.0,125,<1,2.0,'female div/dep/mar',none,4.0,'life insurance',22.0,none,rent,1.0,skilled,1.0,none,yes,good
<0,18.0,'existing paid','used car',7511.0,?,>=7,1.0,'male single',none,4.0,'life insurance',51.0,none,'for free',1.0,skilled,2.0,yes,yes,bad
'no checking',12.0,'critical/other existing credit',furniture/equipment,1258.0,0,<1,2.0,'female div/dep/mar',none,4.0,'life insurance',22.0,none,rent,2.0,'unskilled resident',1.0,none,yes,good
'no checking',24.0,'delayed previously','new car',717.0,?,>=7,4.0,'male mar/wid',none,4.0,car,54.0,none,own,2.0,skilled,1.0,yes,yes,good
'no checking',24.0,'critical/other existing credit',education,1597.0,53,>=7,4.0,'male single',none,4.0,'no known property',54.0,none,'for free',2.0,skilled,2.0,none,yes,good
<0,20.0,'critical/other existing credit',furniture/equipment,4272.0,34,>=7,1.0,'female div/dep/mar',none,4.0,'life insurance',24.0,none,own,2.0,skilled,1.0,none,yes,good
'no checking',12.0,'critical/other existing credit',radio/tv,976.0,?,>=7,4.0,'male single',none,4.0,car,35.0,none,own,2.0,skilled,1.0,none,yes,good
0<=X<200,12.0,'existing paid','new car',7472.0,?,unemployed,1.0,'female div/dep/mar',none,2.0,'real estate',24.0,none,rent,1.0,'unemp/unskilled non res',1.0,none,yes,good
<0,36.0,'existing paid','new car',9271.0,20,4<=X<7,2.0,'male single',none,1.0,car,24.0,none,own,1.0,skilled,1.0,yes,yes,bad
0<=X<200,42.0,'all paid','used car',9283.0,1,unemployed,1.0,'male single',none,2.0,'no known property',55.0,bank,'for free',1.0,'high qualif/self emp/mgmt',1.0,yes,yes,good
0<=X<200,15.0,'no credits/all paid','new car',1778.0,12,<1,2.0,'female div/dep/mar',none,1.0,'real estate',26.0,none,rent,2.0,'unemp/unskilled non res',1.0,none,yes,bad
0<=X<200,8.0,'existing paid',business,907.0,5,<1,3.0,'male mar/wid',none,2.0,'real estate',26.0,none,own,1.0,skilled,1.0,yes,yes,good
0<=X<200,6.0,'existing paid',radio/tv,484.0,57,4<=X<7,3.0,'male mar/wid',guarantor,3.0,'real estate',28.0,bank,own,1.0,'unskilled resident',1.0,none,yes,good
<0,36.0,'critical/other existing credit','used car',9629.0,54,4<=X<7,4.0,'male single',none,4.0,car,24.0,none,own,2.0,skilled,1.0,yes,yes,bad
<0,48.0,'existing paid','domestic appliance',3051.0,92,1<=X<4,3.0,'male single',none,4.0,car,54.0,none,own,1.0,skilled,1.0,none,yes,bad
<0,48.0,'existing paid','new car',3931.0,80,4<=X<7,4.0,'male single',none,4.0,'no known property',46.0,none,'for free',1.0,skilled,2.0,none,yes,bad
0<=X<200,36.0,'delayed previously','new car',7432.0,54,1<=X<4,2.0,'female div/dep/mar',none,2.0,'life insurance',54.0,none,rent,1.0,skilled,1.0,none,yes,good
'no checking',6.0,'existing paid','domestic appliance',1338.0,951,1<=X<4,1.0,'male div/sep',none,4.0,'real estate',62.0,none,own,1.0,skilled,1.0,none,yes,good
'no checking',6.0,'critical/other existing credit',radio/tv,1554.0,40,4<=X<7,1.0,'female div/dep/mar',none,2.0,car,24.0,none,rent,2.0,skilled,1.0,yes,yes,good
<0,18.0,'existing paid',radio/tv,1345.0,26,1<=X<4,4.0,'male mar/wid',none,3.0,'real estate',26.0,bank,own,1.0,skilled,1.0,none,yes,bad
'no checking',12.0,'existing paid','new car',1101.0,93,1<=X<4,3.0,'male mar/wid',none,2.0,'real estate',27.0,none,own,2.0,skilled,1.0,yes,yes,good
<0,36.0,'existing paid',furniture/equipment,2712.0,31,>=7,2.0,'male single',none,2.0,'life insurance',41.0,bank,own,1.0,skilled,2.0,none,yes,bad
<0,8.0,'critical/other existing credit','new car',731.0,38,>=7,4.0,'male single',none,4.0,'real estate',47.0,none,own,2.0,'unskilled resident',1.0,none,yes,good
'no checking',18.0,'critical/other existing credit',furniture/equipment,3780.0,55,<1,3.0,'male div/sep',none,2.0,car,35.0,none,own,2.0,'high qualif/self emp/mgmt',1.0,yes,yes,good
<0,21.0,'critical/other existing credit','new car',1602.0,33,>=7,4.0,'male mar/wid',none,3.0,car,30.0,none,own,2.0,skilled,1.0,yes,yes,good
<0,36.0,'existing paid','used car',8335.0,?,>=7,3.0,'male single',none,4.0,'no known property',47.0,none,'for free',1.0,skilled,1.0,none,yes,bad
0<=X<200,48.0,'delayed previously',business,6681.0,?,1<=X<4,4.0,'male single',none,4.0,'no known property',38.0,none,'for free',1.0,skilled,2.0,yes,yes,good
'no checking',24.0,'delayed previously',business,2375.0,716,1<=X<4,4.0,'male single',none,2.0,car,44.0,none,own,2.0,skilled,2.0,yes,yes,good
<0,18.0,'existing paid','new car',1216.0,81,<1,4.0,'female div/dep/mar',none,3.0,car,23.0,none,rent,1.0,skilled,1.0,yes,yes,bad
0<=X<200,24.0,'existing paid',radio/tv,5084.0,?,>=7,2.0,'female div/dep/mar',none,4.0,car,42.0,none,own,1.0,skilled,1.0,yes,yes,good
'no checking',4.0,'existing paid',furniture/equipment,601.0,2,<1,1.0,'female div/dep/mar',none,3.0,'real estate',23.0,none,rent,1.0,'unskilled resident',2.0,none,yes,good
<0,24.0,'critical/other existing credit','used car',2957.0,57,>=7,4.0,'male single',none,4.0,'life insurance',63.0,none,own,2.0,skilled,1.0,yes,yes,good
<0,36.0,'existing paid',furniture/equipment,5179.0,51,4<=X<7,4.0,'male single',none,2.0,'life insurance',29.0,none,own,1.0,skilled,1.0,none,yes,bad
'no checking',21.0,'delayed previously','used car',2993.0,96,1<=X<4,3.0,'male single',none,2.0,'real estate',28.0,stores,own,2.0,'unskilled resident',1.0,none,yes,good
'no checking',18.0,'existing paid',repairs,1943.0,10,<1,4.0,'female div/dep/mar',none,4.0,'real estate',23.0,none,own,1.0,skilled,1.0,none,yes,bad
'no checking',24.0,'all paid',business,1559.0,20,4<=X<7,4.0,'male single',none,4.0,car,50.0,bank,own,1.0,skilled,1.0,yes,yes,good
'no checking',18.0,'existing paid',furniture/equipment,3422.0,64,>=7,4.0,'male single',none,4.0,'life insurance',47.0,bank,own,3.0,skilled,2.0,yes,yes,good
0<=X<200,21.0,'existing paid',furniture/equipment,3976.0,?,4<=X<7,2.0,'male single',none,3.0,car,35.0,none,own,1.0,skilled,1.0,yes,yes,good
'no checking',24.0,'existing paid','new car',1249.0,34,<1,4.0,'male mar/wid',none,2.0,'real estate',28.0,none,own,1.0,skilled,1.0,none,yes,good
<0,9.0,'existing paid',radio/tv,1364.0,34,4<=X<7,3.0,'male single',none,4.0,'real estate',59.0,none,own,1.0,skilled,1.0,none,yes,good
<0,12.0,'existing paid',radio/tv,709.0,69,>=7,4.0,'male single',none,4.0,'real estate',57.0,stores,own,1.0,'unskilled resident',1.0,none,yes,bad
<0,20.0,'critical/other existing credit','new car',2235.0,64,1<=X<4,4.0,'male mar/wid',guarantor,2.0,'life insurance',33.0,bank,rent,2.0,skilled,1.0,none,no,bad
'no checking',15.0,'critical/other existing credit',radio/tv,1471.0,93,1<=X<4,4.0,'male single',none,4.0,'no known property',35.0,none,'for free',2.0,skilled,1.0,yes,yes,good
<0,18.0,'all paid','new car',1442.0,51,4<=X<7,4.0,'male single',none,4.0,'no known property',32.0,none,'for free',2.0,'unskilled resident',2.0,none,yes,bad
'no checking',36.0,'delayed previously','new car',10875.0,19,>=7,2.0,'male single',none,2.0,car,45.0,none,own,2.0,skilled,2.0,yes,yes,good
'no checking',24.0,'existing paid','new car',1474.0,364,<1,4.0,'male mar/wid',none,3.0,'real estate',33.0,none,own,1.0,skilled,1.0,yes,yes,good
'no checking',9.0,'existing paid','new car',3577.0,227,1<=X<4,1.0,'male single',guarantor,2.0,'real estate',26.0,none,rent,1.0,skilled,2.0,none,no,good
'no checking',24.0,'critical/other existing credit','used car',5804.0,1029.8168472,1<=X<4,4.0,'male single',none,2.0,'real estate',27.0,none,own,2.0,skilled,1.0,none,yes,good
'no checking',18.0,'delayed previously',business,2169.0,72,1<=X<4,4.0,'male mar/wid',none,2.0,car,28.0,none,own,1.0,skilled,1.0,yes,yes,bad
<0,24.0,'existing paid',radio/tv,2439.0,22,<1,4.0,'female div/dep/mar',none,4.0,'real estate',35.0,none,own,1.0,skilled,1.0,yes,yes,bad
'no checking',10.0,'existing paid',furniture/equipment,2210.0,15,1<=X<4,2.0,'male single',none,2.0,'real estate',25.0,bank,rent,1.0,'unskilled resident',1.0,none,yes,bad
<0,18.0,'existing paid',radio/tv,2389.0,92,<1,4.0,'female div/dep/mar',none,1.0,car,27.0,stores,own,1.0,skilled,1.0,none,yes,good
'no checking',36.0,'delayed previously',furniture/equipment,7678.0,599,4<=X<7,2.0,'female div/dep/mar',none,4.0,car,40.0,none,own,2.0,skilled,1.0,yes,yes,good
